Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;383;Serviço;985529-225/2027;Serviços de profissional medico Pediatra ou especialização em pediatria;Catálogo do Compras.gov.br;Serviço;931;SERVIÇOS DE SAÚDE HUMANA;;;;;-;0,0000;0,0000;200000,0000;0,0000;05/11/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;384;Material;985529-226/2027;Contratação de Consórcios Públicos para atendimento às necessidades da Municipalidade;Catálogo do Compras.gov.br;Serviço;831;SERVIÇOS DE CONSULTORIA E DE GERÊNCIA/GESTÃO;;;;;-;0,0000;0,0000;25000,0000;0,0000;18/02/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;386;Serviço;985529-228/2027;Prestação de serviços visando a realização de seguro para veículos;Catálogo do Compras.gov.br;Serviço;713;SERVIÇOS DE SEGUROS E DE PENSÕES(EXCETO SERVIÇO DE RESEGURO)EXCETO SERVIÇOS DE SEGURIDADE SOCIAL COMPULSÓRIA;;;;;-;0,0000;0,0000;40000,0000;0,0000;26/02/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;385;Soluções de TIC;985529-227/2027;Aquisição de cartuchos de toner originais, compatíveis e remanufaturados;Catálogo do Compras.gov.br;Material;7090;SUPRIMENTOS DE INFORMÁTICA - TIC;;;;;-;0,0000;0,0000;5000,0000;0,0000;30/07/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;387;Serviço;985529-229/2027;Prestação de serviços visando a manutenção elétrica e hidráulica das instalações públicas;Catálogo do Compras.gov.br;Serviço;546;SERVIÇOS DE INSTALAÇÃO;;;;;-;0,0000;0,0000;20000,0000;0,0000;15/07/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;388;Material;985529-230/2027;Aquisição de materiais de expediente e papelaria;Catálogo do Compras.gov.br;Material;7520;ACESSÓRIOS E DISPOSITIVOS PARA ESCRITÓRIO;;;;;-;0,0000;0,0000;117000,0000;0,0000;30/04/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;389;Serviço;985529-231/2027;Prestação de serviços de borracharia;Catálogo do Compras.gov.br;Serviço;872;SERVIÇOS DE REPARO DE OUTROS BENS;;;;;-;0,0000;0,0000;10000,0000;0,0000;31/05/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;390;Material;985529-223/2027;Aquisição de mármores e granitos;Catálogo do Compras.gov.br;Material;5620;VIDROS, TELHAS, TIJOLOS E BLOCOS PARA CONSTRUÇÃO;;;;;-;0,0000;0,0000;20000,0000;0,0000;27/05/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;391;Material;985529-233/2027;Aquisição de equipamentos de sinalização de emergência;Catálogo do Compras.gov.br;Material;9999;ITENS DIVERSOS;;;;;-;0,0000;0,0000;35000,0000;0,0000;30/06/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;392;Material;985529-232/2027;Aquisição de instrumentos musicais e acessórios, para o bom funcionamento das atividades do Centro C;Catálogo do Compras.gov.br;Material;7720;PEÇAS E ACESSÓRIOS DE INSTRUMENTOS MUSICAIS;;;;;-;0,0000;0,0000;70000,0000;0,0000;03/09/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;393;Material;985529-235/2027;Aquisição de materiais para confecção de pequenos móveis e manutenção de bens móveis;Catálogo do Compras.gov.br;Material;9999;ITENS DIVERSOS;;;;;-;0,0000;0,0000;50000,0000;0,0000;30/06/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;401;Serviço;985529-241/2027;Locação de piano para o Centro Cultural Armindo Back e eventos;Catálogo do Compras.gov.br;Material;7710;INSTRUMENTOS MUSICAIS;;;;;-;0,0000;0,0000;13000,0000;0,0000;09/09/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;394;Serviço;985529-236/2027;Contratação com prestador fornecedor de cartão individual de vale alimentação para servidores;Catálogo do Compras.gov.br;Serviço;632;SERVIÇOS DE FORNECIMENTO DE COMIDA;;;;;-;0,0000;0,0000;100000,0000;0,0000;07/07/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;395;Serviço;985529-237/2027;Aquisição de refeições do tipo almoço na cidade de Toledo e Cascavel;Catálogo do Compras.gov.br;Serviço;632;SERVIÇOS DE FORNECIMENTO DE COMIDA;;;15210;CANTINA / BAR / LANCHONETE / REFEIÇÃO RÁPIDA / RESTAURANTE;-;50,0000;50,0000;2500,0000;0,0000;07/07/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;396;Material;985529-234/2027;Aquisição de gêneros alimentícios visando atender as demandas das secretarias municipais;Catálogo do Compras.gov.br;Material;8940;ALIMENTOS ESPECIAIS DIETÉTICOS E PREPARADOS ALIMENTÍCIOS;;;;;-;0,0000;0,0000;60000,0000;0,0000;27/05/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;397;Serviço;985529-239/2027;Prestação de serviços visando a realização de cortes e costuras para confecções;Catálogo do Compras.gov.br;Serviço;881;SERVIÇOS DE MANUFATURA EM INSUMOS FÍSICOS QUE SAO PROPRIEDADE DE OUTROS(EXCETO MAQUINARIA E EQUIPAMENTO);;;;;-;0,0000;0,0000;50000,0000;0,0000;03/09/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;398;Material;985529-238/2027;Contratação de empresa para fornecimento de tecidos.;Catálogo do Compras.gov.br;Material;8305;TECIDOS;;;;;-;0,0000;0,0000;35000,0000;0,0000;03/09/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;399;Serviço;985529-242/2027;Realização do festival municipal da canção - Fesrios;Catálogo do Compras.gov.br;Serviço;962;SERVIÇOS DE PROMOÇÃO E APRESENTAÇÃO RELACIONADOS AS ARTES CÊNICAS E OUTROS ESPETÁCULOS AO VIVO;;;;;-;0,0000;0,0000;30000,0000;0,0000;30/07/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;400;Material;985529-244/2027;Aquisição de mobiliários em geral, máquinas, utensílios de escritório, aparelhos e equipamentos;Catálogo do Compras.gov.br;Serviço;872;SERVIÇOS DE REPARO DE OUTROS BENS;;;;;-;0,0000;0,0000;200000,0000;0,0000;28/10/2027
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE;985529;402;Serviço;985529-245/2027;Aquisição de enfeites natalinos por locação dos materiais e insumos;Catálogo do Compras.gov.br;Serviço;873;SERVIÇOS DE INSTALAÇÃO(À EXCEÇÃO DA CONSTRUÇÃO);;;13757;INSTALAÇÃO / MANUTENÇÃO / OPERAÇÃO / LOCAÇÃO  -  EQUIPAMENTODE LUZ / IMAGEM / SOM;-;1,0000;200000,0000;200000,0000;0,0000;01/11/2027
